,timeslice,w,corrected_eletricity_demand_2016.txt,heat_household_demand_2016.txt,Solar_availability_1004FLH.txt,Solar_availability_2016.txt,WindOffshore_availability_2016.txt,WindOffshore_availability_4300FLH.txt,WindOnshore_availability_2016.txt,WindOnshore_availability_2700FLH.txt,Uniform.txt
0,0.0,837.0,0.00011902267303102624,4.974173854415275,0.04014560262529834,0.03912371479713606,0.10943240453460622,0.1675068054892602,0.07796180548926016,0.14949897494033412,1.0
1,1.0,574.0,0.0001315,0.841607039930556,0.6119892395833333,0.46454603819444446,0.13171631250000002,0.20161652083333334,0.06513290798611113,0.12489836284722221,1.0
2,2.0,941.0,9.340658174097665e-05,2.145416243099788,0.01901934819532905,0.018535211252653942,0.31290893524416136,0.478728398089172,0.12238229087048832,0.2346793694267516,1.0
3,3.0,946.0,9.253537486800423e-05,2.086399853220697,0.012403429778247085,0.012087712777191159,0.6346007275607181,0.815675787750792,0.19906035058078142,0.38170851003167894,1.0
4,4.0,465.0,0.00012678755364806867,4.833725834763949,0.03329369098712448,0.03239763519313307,0.30748071244635194,0.4703688090128756,0.2297769270386266,0.4354426072961373,1.0
5,5.0,683.0,0.0001210263157894737,5.0987206856725145,0.037090334795321644,0.03614621491228072,0.6679010730994152,0.8384041710526315,0.1665146125730994,0.3193071739766082,1.0
6,6.0,504.0,0.00014102376237623766,3.112634477227723,0.09389026336633663,0.09125974851485148,0.7057703821782179,0.8637758831683169,0.39903603762376244,0.6985860396039604,1.0
7,7.0,1364.0,9.907399267399267e-05,1.432561613186813,0.010770816849816942,0.01049664468864472,0.08774466593406592,0.13430966886446885,0.07937383809523811,0.15220668644688648,1.0
8,8.0,567.0,0.0001319612676056338,1.9772813010563381,0.13499161971830986,0.13146530809859155,0.48736547359154925,0.6900357623239437,0.12003100352112676,0.23017053521126765,1.0
9,9.0,648.0,0.00010011093990755008,3.4449156348228045,0.022725405238829086,0.022132889060092458,0.7298448567026194,0.8789438536209554,0.4790310400616333,0.7874803744221882,1.0
10,10.0,438.0,0.00013388382687927106,1.1125335330296129,0.48605157175398617,0.39770741685649197,0.5407861070615034,0.7365472619589978,0.2236354624145786,0.42398188382687924,1.0
11,11.0,780.0,0.0001304852752880922,1.5359881920614595,0.22999848655569782,0.22210430473751602,0.10434527656850201,0.1597200294494239,0.07284519462227913,0.1396874058898848,1.0
12,12.0,1.0,7.1e-05,5.278162,0.276899,0.269851,0.193982,0.296926,0.142249,0.272776,1.0
13,13.0,1.0,7.2e-05,3.896723,0.511112,0.414595,0.132807,0.203286,0.175397,0.33634,1.0
14,14.0,1.0,7.9e-05,4.876243,0.335669,0.327125,0.201663,0.308683,0.162789,0.312163,1.0
15,15.0,1.0,8.2e-05,2.348609,0.0,0.0,0.352093,0.538944,0.37507,0.71154,1.0
16,16.0,1.0,0.000143,2.894036,0.0,0.0,0.091606,0.14022,0.591955,0.884687,1.0
17,17.0,1.0,5.9e-05,8.145714,0.0,0.0,0.538209,0.751342,0.173565,0.332827,1.0
18,18.0,1.0,0.000137,3.193258,0.0,0.0,0.347879,0.532494,0.666782,0.944424,1.0
19,19.0,1.0,0.00011699999999999998,2.5112079999999994,0.115421,0.112483,0.076189,0.116622,0.274625,0.526619,1.0
20,20.0,1.0,0.000142,6.027814000000001,0.367572,0.343519,0.415221,0.635574,0.112715,0.216141,1.0
21,21.0,1.0,0.000126,3.346645,0.0,0.0,0.33013,0.505326,0.616654,0.904405,1.0
22,22.0,1.0,0.000106,0.623958,0.9952,0.654299,0.545529,0.756275,0.338576,0.649251,1.0
23,23.0,1.0,0.000142,4.256105,0.453903,0.386267,0.070847,0.108445,0.33021,0.633208,1.0
24,24.0,1.0,0.00015,0.430362,0.967383,0.640525,0.039839,0.060981,0.010407999999999999,0.019958,1.0
